CD_CLI;NR_CTR;VR_CTR;DT_CTR;N_PARCELA;VR_PARCELA;CODIGO
1;101;8264;09-fev.-15;48;172,17;1
2;102;4254;09-fev.-15;36;118,17;2
3;103;5659;09-fev.-15;42;134,74;3
4;104;5477;09-fev.-15;42;130,40;4
5;105;3290;09-fev.-15;24;137,08;5
6;106;7817;09-fev.-15;72;108,57;6
7;107;44;09-fev.-15;60;153,53;7
8;108;629;09-fev.-15;12;52,42;8
9;109;9342;09-fev.-15;60;155,70;9
10;110;3577;09-fev.-15;36;99,36;10
11;111;2680;09-fev.-15;18;148,89;11
12;112;165;09-fev.-15;72;106,83;12
13;113;6086;09-fev.-15;60;101,43;13
14;114;2950;09-fev.-15;18;163,89;14
15;115;8158;09-fev.-15;48;169,96;15
16;116;7291;09-fev.-15;72;101,26;16
17;117;8856;09-fev.-15;96;92,25;17
18;118;977;09-fev.-15;15;65,13;18
19;119;7400;09-fev.-15;72;102,78;19
20;120;7803;09-fev.-15;72;108,38;20
21;121;3135;09-fev.-15;24;130,63;21
22;122;8833;09-fev.-15;96;92,01;22
23;123;4831;09-fev.-15;24;201,29;23
24;124;8395;09-fev.-15;60;139,92;24
25;125;2495;09-fev.-15;12;207,92;25
26;126;6303;09-fev.-15;48;131,31;26
27;127;4011;09-fev.-15;36;111,42;27
28;128;5864;09-fev.-15;36;162,89;28
29;129;2562;09-fev.-15;12;213,50;29
30;130;8233;09-fev.-15;48;171,52;30
31;131;9764;09-fev.-15;36;271,22;31
32;132;7139;09-fev.-15;36;198,31;32
33;133;7066;09-fev.-15;36;196,28;33
34;134;3132;09-fev.-15;24;130,50;34
35;135;4567;09-fev.-15;24;190,29;35
36;136;5154;09-fev.-15;36;143,17;36
37;137;6552;09-fev.-15;24;273,00;37
38;138;878;09-fev.-15;15;58,53;38
39;139;3447;09-fev.-15;36;95,75;39
40;140;5553;09-fev.-15;42;132,21;40
41;141;1243;09-fev.-15;24;51,79;41
42;142;1114;09-fev.-15;24;46,42;42
43;143;8321;09-fev.-15;24;346,71;43
44;144;5347;09-fev.-15;36;148,53;44
45;145;5787;09-fev.-15;60;96,45;45
46;146;1599;09-fev.-15;15;106,60;46
47;147;9102;09-fev.-15;60;151,70;47
48;148;4169;09-fev.-15;36;115,81;48
49;149;6851;09-fev.-15;36;190,31;49
50;150;632;09-fev.-15;12;52,67;50
51;151;8232;09-fev.-15;48;171,50;51
52;152;9117;09-fev.-15;60;151,95;52
53;153;9770;09-fev.-15;36;271,39;53
54;154;6165;09-fev.-15;48;128,44;54
55;155;9265;09-fev.-15;60;154,42;55
56;156;9155;09-fev.-15;60;152,58;56
57;157;3571;09-fev.-15;36;99,19;57
58;158;5758;09-fev.-15;60;95,97;58
59;159;7242;09-fev.-15;36;201,17;59
60;160;2772;09-fev.-15;18;154,00;60
61;161;4682;09-fev.-15;24;195,08;61
62;162;8578;09-fev.-15;80;107,23;62
63;163;3106;09-fev.-15;18;172,56;63
64;164;9948;09-fev.-15;36;276,33;64
65;165;46;09-fev.-15;24;24,17;65
66;166;1372;09-fev.-15;12;114,33;66
67;167;6363;09-fev.-15;48;132,56;67
68;168;3060;09-fev.-15;18;170,00;68
69;169;481;09-fev.-15;24;20,04;69
70;170;9346;09-fev.-15;60;155,77;70
71;171;940;09-fev.-15;15;62,67;71
72;172;250;09-fev.-15;60;150,92;72
73;173;8767;09-fev.-15;80;109,59;73
74;174;6399;09-fev.-15;24;266,63;74
75;175;7109;09-fev.-15;36;197,47;75
76;176;9037;09-fev.-15;60;150,62;76
77;177;3538;09-fev.-15;36;98,28;77
78;178;5572;09-fev.-15;42;132,67;78
79;179;361;09-fev.-15;15;24,07;79
80;180;6597;09-fev.-15;24;274,88;80
81;181;6098;09-fev.-15;60;101,63;81
82;182;8680;09-fev.-15;80;108,50;82
83;183;8453;09-fev.-15;60;140,88;83
84;184;8590;09-fev.-15;80;107,38;84
85;185;961;09-fev.-15;15;64,07;85
86;186;8676;09-fev.-15;80;108,45;86
87;187;6436;09-fev.-15;24;268,17;87
88;188;6407;09-fev.-15;24;266,96;88
89;189;4930;09-fev.-15;48;102,71;89
90;190;1211;09-fev.-15;24;50,46;90
91;191;1974;09-fev.-15;24;82,25;91
92;192;3827;09-fev.-15;36;106,31;92
93;193;7860;09-fev.-15;60;131,00;93
94;194;2153;09-fev.-15;18;119,61;94
95;195;4916;09-fev.-15;48;102,42;95
96;196;8623;09-fev.-15;80;107,79;96
97;197;6716;09-fev.-15;24;279,83;97
98;198;3471;09-fev.-15;36;96,42;98
99;199;9039;09-fev.-15;60;150,65;99
100;200;4101;09-fev.-15;36;113,92;100
101;201;9996;09-fev.-15;60;166,60;101
102;202;1897;09-fev.-15;24;79,04;102
103;203;1700;09-fev.-15;15;113,33;103
104;204;1634;09-fev.-15;15;108,93;104
105;205;1107;09-fev.-15;24;46,13;105
106;206;8666;09-fev.-15;80;108,33;106
107;207;3089;09-fev.-15;18;171,61;107
108;208;8589;09-fev.-15;80;107,36;108
109;209;1889;09-fev.-15;24;78,71;109
110;210;9167;09-fev.-15;60;152,78;110
111;211;9489;09-fev.-15;48;197,69;111
112;212;7815;09-fev.-15;72;108,54;112
113;213;5091;09-fev.-15;36;141,42;113
114;214;1372;09-fev.-15;12;114,33;114
115;215;3345;09-fev.-15;24;139,38;115
116;216;4127;09-fev.-15;36;114,64;116
117;217;8245;09-fev.-15;48;171,77;117
118;218;9770;09-fev.-15;36;271,39;118
119;219;4323;09-fev.-15;36;120,08;119
120;220;6573;09-fev.-15;24;273,88;120
121;221;4245;09-fev.-15;36;117,92;121
122;222;8506;09-fev.-15;80;106,33;122
123;223;7729;09-fev.-15;72;107,35;123
124;224;8280;09-fev.-15;24;345,00;124
125;225;7834;09-fev.-15;72;108,81;125
126;226;6420;09-fev.-15;24;267,50;126
127;227;5235;09-fev.-15;72;72,71;127
128;228;3525;09-fev.-15;36;97,92;128
129;229;5518;09-fev.-15;42;131,38;129
130;230;4453;09-fev.-15;36;123,69;130
131;231;366;09-fev.-15;18;20,33;131
132;232;2202;09-fev.-15;18;122,33;132
133;233;4600;09-fev.-15;24;191,67;133
134;234;8553;09-fev.-15;80;106,91;134
135;235;3372;09-fev.-15;24;140,50;135
136;236;4350;09-fev.-15;36;120,83;136
137;237;363;09-fev.-15;18;20,17;137
138;238;4948;09-fev.-15;48;103,08;138
139;239;9948;09-fev.-15;36;276,33;139
140;240;7708;09-fev.-15;72;107,06;140
141;241;673;09-fev.-15;12;56,08;141
142;242;5104;09-fev.-15;36;141,78;142
143;243;8360;09-fev.-15;60;139,33;143
144;244;6230;09-fev.-15;48;129,79;144
145;245;3523;09-fev.-15;36;97,86;145
146;246;2739;09-fev.-15;18;152,17;146
147;247;9259;09-fev.-15;60;154,32;147
148;248;2497;09-fev.-15;12;208,08;148
149;249;6909;09-fev.-15;36;191,92;149
150;250;2779;09-fev.-15;18;154,39;150
151;251;6174;09-fev.-15;36;171,50;151
152;252;7895;09-fev.-15;60;131,58;152
153;253;9982;09-fev.-15;48;207,96;153
154;254;4626;09-fev.-15;24;192,75;154
155;255;6067;09-fev.-15;60;101,12;155
156;256;7711;09-fev.-15;72;107,10;156
157;257;6460;09-fev.-15;24;269,17;157
158;258;2644;09-fev.-15;18;146,89;158
159;259;1442;09-fev.-15;12;120,17;159
160;260;8696;09-fev.-15;80;108,70;160
161;261;9553;09-fev.-15;48;199,02;161
162;262;8849;09-fev.-15;96;92,18;162
163;263;6372;09-fev.-15;48;132,75;163
164;264;2669;09-fev.-15;18;148,28;164
165;265;2393;09-fev.-15;12;199,42;165
166;266;3560;09-fev.-15;36;98,89;166
167;267;2574;09-fev.-15;12;214,50;167
168;268;5100;09-fev.-15;36;141,67;168
169;269;4295;09-fev.-15;36;119,31;169
170;270;2485;09-fev.-15;12;207,08;170
171;271;2058;09-fev.-15;24;85,75;171
172;272;7099;09-fev.-15;36;197,19;172
173;273;3008;09-fev.-15;18;167,11;173
174;274;3335;09-fev.-15;24;138,96;174
175;275;8614;09-fev.-15;80;107,68;175
176;276;9410;09-fev.-15;48;196,04;176
